project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
50554251,74047902,francisco933,3,0,0,0,0,0,0,1,1,1,6,1,1,1,2,2,293,9
50554251,74047902,malbuquerque03,3,0,0,0,0,0,0,3,3,17,26,2,5,2,7,2,293,12
50554251,74047902,martasqpp,3,0,0,0,0,0,0,4,4,22,32,5,5,5,8,2,293,15
50554274,74047902,pedromiguelbritesantos,3,26,10449,740,11189,5,0,6,4,18,29,3,5,3,10,2,208,10
50554274,74047902,menesesm133,3,32,1183,875,2058,7,0,4,4,18,34,3,4,3,9,2,208,10
50554274,74047902,henriquejlm,3,24,1474,214,1688,6,0,0,0,0,0,0,0,0,0,2,208,16
50554274,74047902,tiagoorietnomdias,3,38,10688,204,10892,9,0,6,5,18,32,2,4,2,14,2,208,12
50554274,74047902,brunoalmeida7426,3,28,1000,9286,10286,10,0,10,5,31,69,6,7,6,12,2,208,15
50554274,74047902,curvu,3,0,0,0,0,0,0,15,15,601,95,23,38,23,159,2,208,17
50554274,74047902,frederico.ferreira2,3,0,0,0,0,0,0,20,20,253,129,21,78,21,124,2,208,19
50554274,74047902,marcelogms,3,0,0,0,0,0,0,4,4,76,44,8,16,8,26,2,208,12
50554274,74047902,reapperdxd,3,0,0,0,0,0,0,12,12,86,145,35,1,35,44,2,208,17
50554274,74047902,simaomoreira,3,0,0,0,0,0,0,3,3,14,35,1,1,1,11,2,208,10
50554274,74047902,lucas03miguel,3,0,0,0,0,0,0,5,4,21,60,1,1,1,14,2,208,12
50554274,74047902,henriquejlm,3,0,0,0,0,0,0,4,3,21,26,3,2,3,14,2,208,16
50554274,74047902,joelnoliveira,3,0,0,0,0,0,0,11,11,39,67,21,15,21,23,2,208,16
50554274,74047902,claudiatorres_uc,3,0,0,0,0,0,0,11,10,26,49,26,4,26,38,2,208,16
50554274,74047902,miguelm03,3,0,0,0,0,0,0,3,3,7,21,3,3,3,12,2,208,12
50554274,74047902,marcolucas41,3,0,0,0,0,0,0,10,7,111,73,8,20,8,34,2,208,16
50554274,74047902,francisco_coelho1,3,0,0,0,0,0,0,6,5,39,50,5,4,5,13,2,208,12
50554274,74047902,diogosantos48,3,0,0,0,0,0,0,4,4,21,36,4,2,4,8,2,208,10
50554274,74047902,ricardosias,3,0,0,0,0,0,0,5,4,59,102,3,3,3,9,2,208,15
50554274,74047902,gabrielsuzana,3,0,0,0,0,0,0,6,5,62,103,5,5,5,15,2,208,15
50554274,74047902,saulojosemendes,3,0,0,0,0,0,0,12,11,72,124,38,13,38,40,2,208,15
50554274,74047902,j-p-gaspar,3,0,0,0,0,0,0,3,3,14,25,4,2,4,7,2,208,10
50554274,74047902,simao_santos1,3,0,0,0,0,0,0,5,4,32,45,4,4,4,10,2,208,12
50554274,74047902,gcmelo76,3,0,0,0,0,0,0,5,3,17,35,3,3,3,8,2,208,10
50554274,74047902,ruicoelho03,3,0,0,0,0,0,0,6,5,25,57,5,6,5,12,2,208,16
50554274,74047902,franrod,3,0,0,0,0,0,0,3,3,14,25,1,6,1,12,2,208,10
50554274,74047902,tiagoalmeida23,3,0,0,0,0,0,0,3,3,35,56,4,2,4,5,2,208,15
50554274,74047902,rui_ribeiro,3,0,0,0,0,0,0,5,3,22,44,6,7,6,12,2,208,10
50554274,74047902,joaopaiva03,3,0,0,0,0,0,0,10,9,21,45,17,14,17,18,2,208,16
50554274,74047902,salucosta,3,0,0,0,0,0,0,4,4,14,29,4,1,4,10,2,208,10
50554274,74047902,beatriz.pmonteiro,3,0,0,0,0,0,0,5,3,11,20,4,1,4,10,2,208,10
50554274,74047902,mjdutra,3,0,0,0,0,0,0,3,3,13,24,2,1,2,11,2,208,12
50554274,74047902,diogossilva03,3,0,0,0,0,0,0,16,14,47,85,19,9,19,26,2,208,15
50554274,74047902,arlouro,3,0,0,0,0,0,0,6,6,36,46,5,3,5,17,2,208,16
50554328,74047902,fsrosendo02,3,49,39088,142,39230,12,0,6,6,15,21,25,19,25,32,11,108,15
50554328,74047902,estevao.abreu40,3,177,90147,4321,94468,19,0,18,11,87,60,20,19,20,37,11,108,15
50554328,74047902,77duarte77,3,19,191,41,232,6,0,3,3,4,11,6,7,6,6,11,108,10
50554328,74047902,mpintodacunha,3,5,86,4,90,2,0,0,0,2,0,1,0,1,2,11,108,10
50554328,74047902,simaosousa,3,64,2420,534,2954,14,0,15,9,49,49,19,14,19,25,11,108,15
50554328,74047902,thejacknives,3,0,0,0,0,0,0,6,6,41,32,10,16,10,19,11,108,15
50554328,74047902,mmagueijo,3,0,0,0,0,0,0,11,11,47,62,21,22,21,21,11,108,10
50554328,74047902,filipesoares06,3,0,0,0,0,0,0,4,3,13,14,12,12,12,12,11,108,7
50554328,74047902,gininha,3,0,0,0,0,0,0,3,2,65,11,7,13,7,16,11,108,15
50554328,74047902,denecio,3,0,0,0,0,0,0,10,5,122,46,9,10,9,18,11,108,15
50554328,74047902,alexandracosta,3,0,0,0,0,0,0,5,4,2,17,7,5,7,9,11,108,14
50554328,74047902,francisco_querido,3,0,0,0,0,0,0,3,3,2,9,15,9,15,18,11,108,16
50554328,74047902,miguel_braga,3,0,0,0,0,0,0,7,6,17,30,7,6,7,12,11,108,15
50554328,74047902,dtoandre,3,0,0,0,0,0,0,7,6,10,28,13,9,13,15,11,108,12
50554328,74047902,pedro-14,3,0,0,0,0,0,0,6,5,17,26,13,17,13,13,11,108,10
50554328,74047902,luishenriques3,3,0,0,0,0,0,0,3,2,4,8,10,6,10,11,11,108,12
50554328,74047902,generaltt,3,0,0,0,0,0,0,3,2,0,7,4,4,4,5,11,108,10
50554328,74047902,joao_mat0s,3,0,0,0,0,0,0,0,0,0,0,4,2,4,4,11,108,7
61760822,93365912,pedrito4315,3,47,817,196,1013,9,0,6,5,25,19,7,4,7,19,98,48,13
61760822,93365912,mpintodacunha,3,51,2103,836,2939,7,0,2,2,4,6,4,7,4,12,98,48,13
61760822,93365912,andretorga4,3,34,1004,197,1201,5,0,4,2,7,8,0,5,0,6,98,48,14
61760822,93365912,claudioc3472,3,45,513,120,633,8,0,3,3,7,10,4,5,4,16,98,48,13
61760822,93365912,rodmb18,3,33,648,143,791,6,0,4,3,7,11,2,6,0,9,98,48,12
61760822,93365912,duartepereira,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,98,48,14
61760822,93365912,miguelapcalado,3,20,354,97,451,4,0,2,2,5,4,0,4,0,7,98,48,13
61760822,93365912,silviosaldanha,3,8,27,3,30,3,0,3,2,15,18,2,14,2,21,98,48,12
61760822,93365912,joaodias0012,3,1,1,1,2,1,0,1,1,4,5,0,2,0,0,98,48,12
61760822,93365912,jnsbcoelho,3,0,0,0,0,0,0,4,3,21,7,12,9,11,17,98,48,14
61760822,93365912,tmdbts,3,0,0,0,0,0,0,6,6,39,18,69,18,53,87,98,48,14
61760822,93365912,igorreis2,3,0,0,0,0,0,0,4,3,7,7,41,10,19,42,98,48,13
61760822,93365912,jbarraca,3,0,0,0,0,0,0,3,3,2,8,1,8,0,8,98,48,12
61760822,93365912,miguelpsantos,3,0,0,0,0,0,0,4,3,8,6,0,5,0,15,98,48,13
61760822,93365912,joaoquerido,3,0,0,0,0,0,0,2,2,2,6,0,8,0,17,98,48,12
61760822,93365912,vazeta,3,0,0,0,0,0,0,4,3,26,19,10,5,1,21,98,48,14
61760822,93365912,joaosantos24,3,0,0,0,0,0,0,3,2,10,18,10,11,8,32,98,48,12
