interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0,1077.0
3.0807799442896937,9.865366759517178,6279.1123491179205,1065.7892293407613,7344.901578458682,2.1662024141132776,0.0,4.0,3.560817084493965,23.25255338904364,23.987000928505108,10.406685236768801,9.167130919220055,9.175487465181059,20.69359331476323,37.56917363045497,108.84401114206128,13.469823584029712
1.389676537223804,30.314207690450107,58338.299396656206,18071.499085627,62269.457282298084,5.588029040502895,0.0,5.9644236471246055,5.591688142540248,61.96615356182262,40.99757244165476,16.89432142851601,10.771879111185939,14.908139816152698,30.35240486717765,36.48506462986079,128.0822872185586,3.1743437788143787
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,12.0,12.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,6.0,4.0,12.0,42.0,44.0,14.0
4.0,1.0,1.0,0.0,2.0,1.0,0.0,6.0,5.0,21.0,31.0,13.0,13.0,12.0,23.0,81.0,160.0,16.0
5.0,439.0,1167686.0,581333.0,1172220.0,52.0,0.0,45.0,45.0,852.0,339.0,220.0,100.0,211.0,326.0,98.0,488.0,19.0
