project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554328,74047902,naseixas,2,8,0,3250,3250,2,0,0,0,0,0,0,0,0,1,11,34
50554328,74047902,dbsimoes20,2,30,403,457,860,6,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,diogosimoes,2,20,2757,3157,5914,6,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,afonso.gouveia.melo,2,23,38152,47,38199,5,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,vascopereirabastos,2,14,37473,40882,78355,6,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,alexandracosta115,2,3,29,3,32,1,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,fsrosendo02,2,26,38541,111,38652,4,0,1,1,2,3,7,10,7,11,11,34
50554328,74047902,tomas.tavares7,2,3,51,18,69,3,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,132321237+Lufas360,2,9,77,9,86,4,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,marianamagueijo3005,2,8,102,4,106,4,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,cocfilipefsoares,2,3,40,0,40,2,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,estevao.abreu40,2,50,606,121,727,7,0,9,4,20,31,12,10,12,12,11,34
50554328,74047902,santos.annasofia,2,3,13,1,14,3,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,77duarte77,2,8,14,6,20,3,0,1,1,1,4,4,4,4,4,11,34
50554328,74047902,146131789+simaosousa1610,2,3,391,358,749,3,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,marianamagueijo30,2,23,246,32,278,5,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,asdsd.070,2,22,382,23,405,4,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,uc2021199102,2,44,38653,98,38751,8,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,mpintodacunha,2,5,86,4,90,2,0,0,0,2,0,1,0,1,2,11,34
50554328,74047902,ines.silva.marcelino,2,20,94,14,108,6,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,kpires2003,2,14,37,11,48,5,0,3,2,0,7,3,3,3,5,11,34
50554328,74047902,joaomatosn01,2,12,83,20,103,4,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,mmgomes,2,1,13,0,13,1,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,pedrocatorze,2,3,363,1,364,2,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,guterres,2,1,13,0,13,1,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,franciscoquerido_03,2,25,925,141,1066,6,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,mariana22.01.2001,2,1,14,0,14,1,0,0,0,0,0,3,3,3,5,11,34
50554328,74047902,simaosousa,2,17,1445,2,1447,8,0,7,2,18,23,9,8,9,9,11,34
50554328,74047902,moirapc19,2,10,42,29,71,2,0,0,0,0,0,3,5,3,10,11,34
50554328,74047902,miguelbraga,2,2,12,0,12,2,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,simao_sousa_16,2,3,471,0,471,2,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,luis.teixeirapereira15,2,1,14,0,14,1,0,0,0,1,0,2,1,2,1,11,34
50554328,74047902,joaodsfonseca727,2,3,18,5,23,1,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,uc2020218429,2,17,314,0,314,3,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,braga.mfs,2,34,40503,374,40877,2,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,anasofia,2,2,3,0,3,1,0,0,0,0,0,0,0,0,0,11,34
50554328,74047902,ghost1,2,0,0,0,0,0,0,7,3,49,52,4,0,4,9,11,34
50554328,74047902,thejacknives,2,0,0,0,0,0,0,2,2,17,10,6,7,6,5,11,34
50554328,74047902,mmagueijo,2,0,0,0,0,0,0,5,5,33,30,9,9,9,9,11,34
50554328,74047902,filipesoares06,2,0,0,0,0,0,0,1,1,7,5,6,6,6,6,11,34
50554328,74047902,Gininha,2,0,0,0,0,0,0,1,1,22,4,4,8,4,10,11,34
50554328,74047902,Denecio,2,0,0,0,0,0,0,3,1,52,15,2,3,2,4,11,34
50554328,74047902,AlexandraCosta,2,0,0,0,0,0,0,2,2,2,12,4,2,4,4,11,34
50554328,74047902,asfsantos,2,0,0,0,0,0,0,1,1,4,4,7,7,7,11,11,34
50554328,74047902,inesmarcelino,2,0,0,0,0,0,0,4,2,0,8,3,4,3,5,11,34
50554328,74047902,Francisco_Querido,2,0,0,0,0,0,0,1,1,2,4,7,4,7,9,11,34
50554328,74047902,Miguel_Braga,2,0,0,0,0,0,0,5,4,8,21,5,3,5,9,11,34
50554328,74047902,dtoAndre,2,0,0,0,0,0,0,1,1,2,6,5,3,5,7,11,34
50554328,74047902,pedro-14,2,0,0,0,0,0,0,1,1,0,3,7,8,7,7,11,34
50554328,74047902,LuisHenriques3,2,0,0,0,0,0,0,0,0,0,0,3,0,3,3,11,34
50554328,74047902,GeneralTT,2,0,0,0,0,0,0,0,0,0,0,2,1,2,2,11,34
50554328,74047902,CGodes,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,34
50554328,74047902,margarida2003,2,0,0,0,0,0,0,0,0,0,0,2,3,2,2,11,34
50554328,74047902,Jfonseca727,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11,34
50554328,74047902,Joao_Mat0s,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,11,34
50554328,74047902,hguterres,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,34
