project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554382,74047902,naseixas,3,8,0,3250,3250,2,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,pedroptramalho,3,17,668,94,762,6,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,eugenia.c.oliveira,3,27,28083,45540,73623,5,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,maycury7,3,8,40,1,41,4,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,lmpuisa.8510,3,2,16,1,17,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,xdferreira,3,5,16,3,19,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,tiago03silva.10,3,1,7,0,7,1,0,0,0,0,0,0,0,0,1,20,7
50554382,74047902,2003danimartins,3,3,76,2,78,3,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,brunagasparbgg179,3,2,6,0,6,2,0,0,0,1,0,4,2,4,6,20,7
50554382,74047902,bfportugal,3,4,50,8,58,2,0,0,0,1,0,0,0,0,7,20,7
50554382,74047902,glerciomaunze16,3,8,23,1,24,5,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,carolina.travanca,3,2,7,0,7,2,0,0,0,0,0,4,3,4,6,20,7
50554382,74047902,uc2021216180,3,2,14,0,14,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,yankovasofia,3,9,68,63,131,3,0,1,1,1,5,0,0,0,0,20,7
50554382,74047902,manalbuquerque2003,3,2,28,0,28,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,zecaprodrigues,3,1,15,0,15,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,uc2021244917,3,9,210,33,243,6,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,diogo.silva.henriques44,3,5,17,0,17,2,0,1,0,1,1,0,4,0,2,20,7
50554382,74047902,uc2021234629,3,1,5,0,5,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,laudamha,3,10,2157,0,2157,6,0,2,1,2,19,0,1,0,0,20,7
50554382,74047902,tomefsimoes,3,5,42,16,58,3,0,0,0,1,0,0,1,0,3,20,7
50554382,74047902,crimarcal20,3,1,9,0,9,1,0,0,0,1,0,0,0,0,0,20,7
50554382,74047902,zecaprodriges,3,2,14,14,28,2,0,1,0,5,1,0,3,0,4,20,7
50554382,74047902,2003andrepinto,3,1,18,0,18,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,101889480+eoliveira02,3,1,13838,22716,36554,1,0,0,0,0,0,0,0,0,0,20,7
50554382,74047902,tathiellefonseca,3,0,0,0,0,0,0,4,1,11,11,1,2,1,5,20,7
50554382,74047902,PedroRamalho18,3,0,0,0,0,0,0,3,2,7,5,9,11,9,16,20,7
50554382,74047902,Glercio,3,0,0,0,0,0,0,1,0,2,2,2,2,2,2,20,7
50554382,74047902,DanielMartins03,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,20,7
50554382,74047902,Maycury,3,0,0,0,0,0,0,0,0,6,0,1,1,1,4,20,7
50554382,74047902,eoliveira02,3,0,0,0,0,0,0,2,2,7,5,10,7,10,16,20,7
50554382,74047902,martasqpp,3,0,0,0,0,0,0,0,0,2,0,1,1,1,3,20,7
50554382,74047902,xaviferreira,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20,7
50554382,74047902,Malbuquerque03,3,0,0,0,0,0,0,0,0,0,0,1,0,1,6,20,7
50554382,74047902,mzrela1,3,0,0,0,0,0,0,0,0,0,0,15,0,15,18,20,7
50554382,74047902,HugoAlmeida82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,7
