project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
50554251,74047902,duda_13,4,0,0,0,0,0,0,13,13,45,83,8,13,8,14,2,452,12
50554251,74047902,martababau,4,0,0,0,0,0,0,8,8,27,56,8,16,8,21,2,452,12
50554251,74047902,martimgomesoliveira,4,0,0,0,0,0,0,10,10,36,93,5,7,5,13,2,452,10
50554251,74047902,jonas12343j,4,0,0,0,0,0,0,19,19,179,199,18,30,18,44,2,452,16
50554251,74047902,miguel_miranda20,4,0,0,0,0,0,0,32,32,149,214,63,35,63,100,2,452,15
50554251,74047902,mshrmoo,4,0,0,0,0,0,0,16,16,96,114,28,19,28,46,2,452,15
50554251,74047902,miguelleopoldouc,4,0,0,0,0,0,0,29,29,73,201,62,45,62,80,2,452,17
50554251,74047902,gustathecreator,4,0,0,0,0,0,0,26,26,220,191,52,30,52,59,2,452,17
50554251,74047902,francisco933,4,0,0,0,0,0,0,1,1,5,6,1,1,1,3,2,452,9
50554251,74047902,malbuquerque03,4,0,0,0,0,0,0,7,7,54,66,5,10,5,15,2,452,12
50554251,74047902,martasqpp,4,0,0,0,0,0,0,9,9,41,67,8,10,8,16,2,452,15
50554274,74047902,pedromiguelbritesantos,4,28,10675,866,11541,6,0,7,5,20,34,4,6,4,13,2,278,10
50554274,74047902,menesesm133,4,35,1341,962,2303,8,0,5,5,20,40,4,5,4,12,2,278,10
50554274,74047902,henriquejlm,4,28,2395,619,3014,7,0,0,0,0,0,0,0,0,0,2,278,16
50554274,74047902,tiagoorietnomdias,4,42,10987,358,11345,10,0,7,6,20,36,3,7,3,17,2,278,12
50554274,74047902,brunoalmeida7426,4,44,2690,12378,15068,14,0,18,7,55,112,8,9,8,20,2,278,15
50554274,74047902,curvu,4,0,0,0,0,0,0,25,25,819,138,33,50,33,204,2,278,17
50554274,74047902,frederico.ferreira2,4,0,0,0,0,0,0,23,23,351,147,25,95,25,160,2,278,19
50554274,74047902,marcelogms,4,0,0,0,0,0,0,7,7,99,58,11,31,11,44,2,278,12
50554274,74047902,reapperdxd,4,0,0,0,0,0,0,18,18,106,185,56,2,54,65,2,278,17
50554274,74047902,simaomoreira,4,0,0,0,0,0,0,5,5,18,53,2,2,2,19,2,278,10
50554274,74047902,lucas03miguel,4,0,0,0,0,0,0,6,5,23,64,2,2,2,19,2,278,12
50554274,74047902,henriquejlm,4,0,0,0,0,0,0,5,4,25,31,4,4,4,18,2,278,16
50554274,74047902,joelnoliveira,4,0,0,0,0,0,0,15,14,50,88,28,22,28,31,2,278,16
50554274,74047902,claudiatorres_uc,4,0,0,0,0,0,0,12,11,29,55,34,7,34,48,2,278,16
50554274,74047902,miguelm03,4,0,0,0,0,0,0,6,6,13,35,7,7,7,18,2,278,12
50554274,74047902,marcolucas41,4,0,0,0,0,0,0,14,9,156,104,14,29,11,47,2,278,16
50554274,74047902,francisco_coelho1,4,0,0,0,0,0,0,7,6,58,92,5,4,5,16,2,278,12
50554274,74047902,diogosantos48,4,0,0,0,0,0,0,5,5,23,49,5,2,5,11,2,278,10
50554274,74047902,ricardosias,4,0,0,0,0,0,0,6,5,66,116,4,3,4,13,2,278,15
50554274,74047902,gabrielsuzana,4,0,0,0,0,0,0,7,6,86,137,6,6,6,20,2,278,15
50554274,74047902,saulojosemendes,4,0,0,0,0,0,0,18,15,97,161,47,17,46,51,2,278,15
50554274,74047902,j-p-gaspar,4,0,0,0,0,0,0,3,3,14,25,6,4,6,10,2,278,10
50554274,74047902,simao_santos1,4,0,0,0,0,0,0,8,6,54,92,5,5,5,13,2,278,12
50554274,74047902,gcmelo76,4,0,0,0,0,0,0,6,4,20,41,4,4,4,13,2,278,10
50554274,74047902,ruicoelho03,4,0,0,0,0,0,0,10,7,41,92,6,8,6,19,2,278,16
50554274,74047902,franrod,4,0,0,0,0,0,0,5,5,22,44,2,10,2,18,2,278,10
50554274,74047902,tiagoalmeida23,4,0,0,0,0,0,0,5,4,48,75,5,2,5,7,2,278,15
50554274,74047902,rui_ribeiro,4,0,0,0,0,0,0,6,4,26,52,7,8,7,17,2,278,10
