project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch
50554251,74047902,naseixas,2,8,0,3250,3250,2,0,0,0,0,0,0,0,0,1,2,160
50554251,74047902,fragus03,2,45,2326,30,2356,12,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,alfernandes,2,67,18169,26354,44523,13,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021223358,2,16,599,166,765,9,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,rodrigodesa2003,2,56,1621,469,2090,9,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,lauraacaetano18,2,25,242,16,258,6,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,oliveirasantosandremg,2,104,9148,3106,12254,17,0,15,15,145,95,8,12,8,36,2,160
50554251,74047902,uc2019218410,2,68,1632,528,2160,5,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,joaogomes.silva03,2,28,422,155,577,7,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,jjooaoo.pereira,2,31,1030,162,1192,6,0,3,3,14,23,2,4,2,6,2,160
50554251,74047902,miguel1leopoldo,2,32,902,144,1046,10,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,rafaelarias,2,25,759,7,766,7,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,ana.bea.roc,2,22,349,22,371,6,0,5,5,22,49,1,4,1,6,2,160
50554251,74047902,sofia.parreira.santos,2,30,287,38,325,7,0,3,3,8,23,1,4,1,5,2,160
50554251,74047902,uc2020216164,2,46,547,111,658,12,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,raquelmgcardoso01,2,59,284344,196982,481326,9,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021220627,2,33,765,187,952,4,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021247604,2,43,513,261,774,9,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021225109,2,20,336,44,380,6,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,sara.m.amaraal,2,23,476,147,623,6,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021247569,2,31,310,13,323,9,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2019222229,2,36,4096,1400,5496,9,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2020237060,2,14,886,153,1039,5,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021226821,2,21,327,2,329,6,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,eduardoferreira1329,2,20,292,28,320,4,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021212100,2,47,1486,688,2174,6,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,martimgomesoliveira,2,29,407,324,731,4,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,jonibpereira,2,18,884,259,1143,5,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,uc2021223430,2,38,4673,958,5631,7,0,0,0,0,0,0,0,0,0,2,160
50554251,74047902,silassequeiraa,2,8,48,0,48,1,0,1,1,2,4,1,0,1,3,2,160
50554251,74047902,miguelleopoldo,2,35,2119,147,2266,11,0,0,0,0,0,0,0,0,0,2,160
